sample,parameter,motion,material,id,elev_min,elev_max,nparts,npoints,perimeter,area
id6-6,tri,Grinding,Dry acorn,8,0.008,0.009,72,5865,77.666,4.3
id6-6,tri,Grinding,Dry acorn,9,0.009,0.01,40,2700,35.238,1.534
id6-6,tri,Grinding,Dry acorn,10,0.01,0.011,13,914,11.417,0.41
id6-6,tri,Grinding,Dry acorn,11,0.011,0.012,3,212,2.695,0.141
id6-7,tri,Grinding,Moist acorn,0,0,0.001,51,3189,41.736,3.387
id6-7,tri,Grinding,Moist acorn,1,0.001,0.002,103,9772,128.94,12.895
id6-7,tri,Grinding,Moist acorn,2,0.002,0.003,121,13564,179.685,17.699
id6-7,tri,Grinding,Moist acorn,3,0.003,0.004,132,12956,171.545,14.004
id6-7,tri,Grinding,Moist acorn,4,0.004,0.005,111,11775,152.165,12.684
id6-7,tri,Grinding,Moist acorn,5,0.005,0.006,103,9875,127.225,9.185
id6-7,tri,Grinding,Moist acorn,6,0.006,0.007,115,9923,127.344,9.529
id6-7,tri,Grinding,Moist acorn,7,0.007,0.008,105,9609,124.467,10.081
id6-7,tri,Grinding,Moist acorn,8,0.008,0.009,76,7406,96.588,8.009
id6-7,tri,Grinding,Moist acorn,9,0.009,0.01,47,5413,67.683,4.126
id6-7,tri,Grinding,Moist acorn,10,0.01,0.011,22,2475,29.584,1.446
id6-7,tri,Grinding,Moist acorn,11,0.011,0.012,7,438,4.934,0.254
